City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,xam nua,20.4197,104.0439,16.07,99,88,1.2,LA,1675622762
202,san cristobal,7.7669,-72.225,26.1,62,68,2.86,VE,1675622763
203,sabang,5.8933,95.3214,27.04,72,100,1.87,ID,1675622763
204,huntsville,34.7304,-86.5861,15.3,53,0,6.17,US,1675622738
205,mitsamiouli,-11.3847,43.2844,27.76,76,95,2.0,KM,1675622763
206,kayerkan,69.3497,87.7602,-18.6,84,99,1.82,RU,1675622764
207,bethel,41.3712,-73.414,8.02,44,0,3.6,US,1675622764
208,orzu,37.5593,68.8184,12.22,62,100,2.51,TJ,1675622764
209,dumas,35.8656,-101.9732,13.08,19,0,5.14,US,1675622676
210,clyde river,70.4692,-68.5914,-25.87,64,100,5.66,CA,1675622541
211,denizli,37.8402,29.0698,2.8,89,100,5.23,TR,1675622765
212,lebu,-37.6167,-73.65,18.72,76,6,9.06,CL,1675622494
213,southbridge,42.0751,-72.0334,9.06,45,71,1.34,US,1675622766
214,okhotsk,59.3833,143.3,-26.48,81,96,4.9,RU,1675622766
215,korla,41.7597,86.1469,-1.81,69,8,1.96,CN,1675622482
216,saint-felicien,48.6501,-72.4491,-12.62,78,100,2.57,CA,1675622767
217,lodja,-3.4833,23.4333,25.03,60,100,0.44,CD,1675622767
218,lagoa,39.05,-27.9833,15.32,84,24,7.75,PT,1675622502
219,saint-louis,16.3333,-15.0,28.8,11,89,3.48,SN,1675622768
220,qaanaaq,77.484,-69.3632,-19.29,62,0,4.19,GL,1675622768
221,drumheller,51.4617,-112.7101,0.4,74,77,3.6,CA,1675622769
222,athabasca,54.7169,-113.2854,-2.77,81,100,2.48,CA,1675622738
223,kundgol,15.25,75.25,24.38,37,0,4.01,IN,1675622769
224,maniitsoq,65.4167,-52.9,-16.37,88,100,5.89,GL,1675622770
225,ugoofaaru,5.6667,73.0,26.97,75,100,1.77,MV,1675622770
226,arenapolis,-14.4503,-56.8461,29.67,65,77,0.79,BR,1675622770
227,saint-philippe,-21.3585,55.7679,26.77,87,91,4.68,RE,1675622771
228,itoman,26.1247,127.6694,19.21,94,75,1.54,JP,1675622715
229,digby,44.6169,-65.7655,1.44,78,100,10.58,CA,1675622771
230,tungor,53.3808,142.9564,-20.13,94,100,4.22,RU,1675622772
231,kletskaya,49.3145,43.0584,-4.77,96,100,3.32,RU,1675622772
232,la rioja,42.25,-2.5,2.88,91,44,2.56,ES,1675622772
233,assare,-6.8744,-39.875,32.31,33,98,2.75,BR,1675622773
234,yinchuan,38.4681,106.2731,-1.05,29,7,2.05,CN,1675622773
235,verkh-usugli,52.7,115.1667,-25.76,95,15,1.71,RU,1675622774
236,malanje,-9.5402,16.341,18.06,89,100,0.73,AO,1675622774
237,houston,29.7633,-95.3633,23.43,65,75,4.63,US,1675622278
238,bilibino,68.0546,166.4372,-34.12,100,100,0.83,RU,1675622774
239,karpogory,64.0019,44.4451,-21.72,100,58,1.97,RU,1675622775
240,riverton,40.5219,-111.9391,4.93,71,100,7.2,US,1675622775
241,staryy krym,45.0333,35.1,0.67,97,100,6.49,UA,1675622776
242,jega,12.2175,4.3792,30.04,10,100,3.96,NG,1675622776
243,makakilo city,21.3469,-158.0858,23.34,79,40,4.63,US,1675622777
244,ulaanbaatar,47.9077,106.8832,-21.93,71,0,1.0,MN,1675622777
245,nanortalik,60.1432,-45.2371,-4.93,91,100,5.27,GL,1675622778
246,yar-sale,66.8333,70.8333,-23.97,100,66,2.05,RU,1675622521
247,asau,46.4333,26.4,-4.29,93,100,3.44,RO,1675622778
248,gouyave,12.1646,-61.7296,27.43,69,20,14.4,GD,1675622778
249,mahinog,9.1578,124.7875,24.92,85,100,4.06,PH,1675622779
250,sobolevo,54.4299,31.8996,-5.05,94,100,3.38,RU,1675622779
251,karratha,-20.7377,116.8463,30.78,52,11,4.63,AU,1675622780
252,hambantota,6.1241,81.1185,25.19,94,40,3.09,LK,1675622780
253,komsomolskiy,40.4272,71.7189,4.4,93,100,2.06,UZ,1675622780
254,emba,48.8264,58.1442,-18.18,97,78,2.67,KZ,1675622781
255,fayaoue,-20.65,166.5333,28.32,80,100,6.76,NC,1675622781
256,dalvik,65.9702,-18.5286,8.96,90,100,9.84,IS,1675622782
257,gombong,-7.6072,109.5142,24.8,89,100,1.24,ID,1675622782
258,hun,29.1268,15.9477,13.05,51,14,4.47,LY,1675622782
259,bosaso,11.2842,49.1816,23.5,72,26,1.84,SO,1675622783
260,chokurdakh,70.6333,147.9167,-40.24,100,87,1.5,RU,1675622783
261,bara,10.3744,10.7288,28.09,14,78,3.73,NG,1675622784
262,gangarampur,25.4,88.5167,16.68,52,0,3.08,IN,1675622784
263,bambous virieux,-20.3428,57.7575,26.79,89,20,1.54,MU,1675622785
264,topolovgrad,42.0833,26.3333,-2.15,65,100,9.17,BG,1675622785
265,dongsheng,39.8161,109.9776,-4.72,38,100,2.64,CN,1675622786
266,codrington,-38.2667,141.9667,13.13,86,35,2.71,AU,1675622556
267,pitea,65.3172,21.4794,-11.95,90,85,2.0,SE,1675622786
268,nabire,-3.3667,135.4833,24.1,94,100,0.8,ID,1675622787
269,grand gaube,-20.0064,57.6608,26.88,77,29,2.68,MU,1675622788
270,trapani,37.8333,12.6667,7.05,76,40,3.6,IT,1675622788
271,camacha,33.0833,-16.3333,14.68,67,40,5.14,PT,1675622789
272,killybegs,54.6333,-8.45,7.84,86,14,4.09,IE,1675622789
273,vinh,18.6667,105.6667,21.41,96,99,0.29,VN,1675622790
274,vao,-22.6667,167.4833,26.14,87,98,8.13,NC,1675622790
275,whitehorse,60.7161,-135.0538,-16.77,77,75,1.03,CA,1675622495
276,rajshahi,24.3667,88.6,16.81,50,0,1.44,BD,1675622790
277,chinsali,-10.5414,32.0816,16.9,95,67,1.75,ZM,1675622791
278,amurzet,47.6967,131.0981,-25.0,97,6,2.42,RU,1675622791
279,barretos,-20.5572,-48.5678,25.21,79,100,2.2,BR,1675622594
280,mahebourg,-20.4081,57.7,26.81,89,20,1.54,MU,1675622575
281,kolaras,25.2333,77.6,17.48,37,0,2.13,IN,1675622792
282,burns lake,54.2331,-125.7533,-2.32,94,74,2.31,CA,1675622610
283,kjopsvik,68.097,16.3742,0.93,87,100,2.79,NO,1675622792
284,hualmay,-11.0964,-77.6139,25.25,68,63,3.68,PE,1675622792
285,belyy yar,53.6039,91.3903,-23.97,76,50,1.0,RU,1675622794
286,montepuez,-13.1256,38.9997,21.49,95,96,1.33,MZ,1675622796
287,buala,-8.145,159.5921,25.23,94,100,5.91,SB,1675622796
288,borogontsy,62.6683,131.1683,-34.09,100,100,0.85,RU,1675622797
289,kommunisticheskiy,61.6789,64.4819,-16.38,99,100,0.63,RU,1675622797
290,abu kamal,34.4506,40.9171,12.87,44,20,5.1,SY,1675622797
291,plettenberg bay,-34.0527,23.3716,22.12,83,97,2.44,ZA,1675622679
292,ishigaki,24.3448,124.1572,22.07,83,75,5.14,JP,1675622798
293,mezen,65.8522,44.24,-17.37,97,19,2.81,RU,1675622676
294,mandalgovi,45.7625,106.2708,-10.79,54,54,0.95,MN,1675622798
295,ivanava,52.1451,25.5365,-4.11,78,91,4.14,BY,1675622799
296,macheng,31.1783,115.0319,10.55,79,100,1.34,CN,1675622799
297,lhokseumawe,5.1801,97.1507,24.93,83,94,0.96,ID,1675622799
298,husavik,66.0449,-17.3389,7.42,80,100,15.7,IS,1675622800
299,zhangjiakou,40.81,114.8794,-4.29,41,92,2.47,CN,1675622800
300,englehart,47.8169,-79.8664,-10.69,79,100,5.14,CA,1675622589
301,sao bernardo,-3.3614,-42.4178,26.91,80,93,1.78,BR,1675622801
302,limon,10.0,-83.0333,26.94,74,75,1.54,CR,1675622801
303,sorland,67.667,12.6934,3.92,60,100,10.04,NO,1675622801
304,sijunjung,-0.6876,100.9537,21.94,89,100,0.78,ID,1675622802
305,kudahuvadhoo,2.6708,72.8944,26.52,74,52,0.69,MV,1675622802
306,coos bay,43.3665,-124.2179,9.44,93,100,3.09,US,1675622710
307,kiruna,67.8557,20.2251,-4.49,74,0,3.09,SE,1675622802
308,togur,58.3631,82.8265,-19.56,100,100,1.51,RU,1675622803
309,gat,31.61,34.7642,14.11,100,98,5.9,IL,1675622803
310,playas,-2.6333,-80.3833,27.42,67,36,4.63,EC,1675622803
311,requena,39.4883,-1.1004,6.55,64,0,1.35,ES,1675622804
312,amnat charoen,15.9167,104.75,23.23,78,40,2.61,TH,1675622804
313,hirara,24.8,125.2833,21.8,78,100,7.57,JP,1675622804
314,jacqueville,5.2052,-4.4146,27.11,84,37,6.09,CI,1675622805
315,maku,39.2911,44.4521,-0.96,87,100,1.14,IR,1675622805
316,plaster rock,46.9065,-67.39,-10.23,93,100,3.26,CA,1675622616
317,petrivka,46.9695,30.9591,-1.87,81,93,6.43,UA,1675622805
318,ajdabiya,30.7554,20.2263,13.12,51,45,10.61,LY,1675622806
319,krasnoselkup,65.7,82.4667,-17.04,98,91,2.62,RU,1675622806
320,copiapo,-27.3667,-70.3333,23.83,35,33,6.13,CL,1675622806
321,sao felix do xingu,-6.6447,-51.995,31.71,53,92,1.29,BR,1675622807
322,north bend,43.4065,-124.2243,9.4,93,100,3.09,US,1675622737
323,constitucion,-35.3333,-72.4167,20.51,71,19,3.42,CL,1675622756
324,ankazoabo,-22.2833,44.5167,22.55,88,100,3.01,MG,1675622807
325,eyl,7.9803,49.8164,23.99,74,100,7.22,SO,1675622808
326,pauini,-7.7136,-66.9764,28.95,65,94,1.52,BR,1675622808
327,koudougou,12.25,-2.3667,31.32,11,4,3.51,BF,1675622808
328,avanigadda,16.0215,80.9181,20.92,88,1,1.5,IN,1675622809
329,derzhavinsk,51.1,66.3167,-13.39,99,77,2.48,KZ,1675622809
330,sakakah,29.9697,40.2064,14.76,34,100,3.7,SA,1675622809
331,guerrero negro,27.9769,-114.0611,18.16,60,0,6.51,MX,1675622810
332,knyaginino,55.8228,45.0349,-11.37,98,100,1.26,RU,1675622810
333,egvekinot,66.3167,-179.1667,-29.83,87,100,5.03,RU,1675622810
334,adrar,20.5022,-10.0711,18.54,22,100,4.46,MR,1675622811
335,hamilton,39.1834,-84.5333,11.69,53,100,9.77,US,1675622637
336,shingu,33.7333,135.9833,3.78,52,100,2.54,JP,1675622811
337,chifeng,42.2683,118.9636,-8.0,52,0,0.73,CN,1675622812
338,doaba,33.4244,70.7364,11.27,68,98,2.48,PK,1675622812
339,haines junction,60.7522,-137.5108,-12.03,85,100,0.51,CA,1675622812
340,teya,60.3778,92.6267,-14.72,98,99,1.93,RU,1675622813
341,thanh hoa,19.8,105.7667,20.01,97,98,1.94,VN,1675622667
342,potcoava,44.4833,24.65,-3.34,68,25,4.0,RO,1675622813
343,necochea,-38.5473,-58.7368,31.67,31,4,2.28,AR,1675622814
344,nemuro,43.3236,145.575,-4.8,84,88,5.21,JP,1675622815
345,hemsedal,60.8629,8.5534,-5.47,89,100,2.4,NO,1675622815
